System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
,0035 Central Freshman Academy,0,582,317,54.47%,38,6.53%,355,61.00%,,,
,0040 Phenix City Intermediate School,0,"1,051",660,62.80%,58,5.52%,718,68.32%,,,
,0045 Lakewood Elementary School,0,475,118,24.84%,48,10.11%,166,34.95%,,,
,0047 Lakewood Primary School,0,505,126,24.95%,42,8.32%,168,33.27%,,,
,0050 Meadowlane Elementary School,0,171,159,92.98%,*,*,161,94.15%,,,
,0053 Phenix City Elementary School,0,721,543,75.31%,22,3.05%,565,78.36%,,,
,0070 Ridgecrest Elementary School,0,749,537,71.70%,34,4.54%,571,76.23%,,,
,0080 Sherwood Elementary School,0,511,261,51.08%,53,10.37%,314,61.45%,,,
,0100 South Girard School,0,550,307,55.82%,56,10.18%,363,66.00%,,,
,0130 Westview Elementary School,0,374,298,79.68%,15,4.01%,313,83.69%,,,
185 Piedmont City,,,"1,077",585,54.318%,97,9.006%,682,63.324%,,,
,0020 Piedmont High School,0,348,154,44.25%,32,9.20%,186,53.45%,,,
,0025 Piedmont Middle School,0,261,146,55.94%,28,10.73%,174,66.67%,,,
,0030 Piedmont Elementary School,0,468,285,60.90%,37,7.91%,322,68.80%,,,
186 Pike Road City,,,"2,603",376,14.445%,*,*,376,14.445%,,,
,0005 Pike Road Elementary School,0,836,103,12.32%,*,*,103,12.32%,,,
,0010 Pike Road Intermediate School,0,605,77,12.73%,*,*,77,12.73%,,,
,0015 Pike Road High School,0,542,96,17.71%,*,*,96,17.71%,,,
,0020 Pike Road Jr High School,0,620,100,16.13%,*,*,100,16.13%,,,
187 Saraland City,,,"3,220",765,23.758%,91,2.826%,856,26.584%,,,
,0010 Saraland Early Education Center,0,457,129,28.23%,22,4.81%,151,33.04%,,,
,0020 Saraland Middle School/Adams Campus,0,739,194,26.25%,18,2.44%,212,28.69%,,,
,0630 Saraland Elementary School,0,934,214,22.91%,17,1.82%,231,24.73%,,,
,0635 Saraland High School,0,"1,090",228,20.92%,34,3.12%,262,24.04%,,,
188 Roanoke City,,,"1,376",608,44.186%,*,*,608,44.186%,,,
,0010 Handley Middle School,1,507,237,46.75%,*,*,237,46.75%,,,
,0020 Handley High School,1,459,166,36.17%,*,*,166,36.17%,,,
,0030 Knight Enloe Elementary School,1,410,205,50.00%,*,*,205,50.00%,,,
189 Russellville City,,,"2,458",593,24.125%,*,*,593,24.125%,,,
,0010 Russellville Elementary School,0,605,150,24.79%,*,*,150,24.79%,,,
,0020 Russellville Middle School,0,551,125,22.69%,*,*,125,22.69%,,,
,0030 Russellville High School,0,710,162,22.82%,*,*,162,22.82%,,,
,0040 West Elementary School,0,592,156,26.35%,*,*,156,26.35%,,,
190 Scottsboro City,,,"2,429",953,39.234%,205,8.44%,"1,158",47.674%,,,
,0020 Caldwell Elementary School,0,560,267,47.68%,43,7.68%,310,55.36%,,,
,0028 Thurston T Nelson Elementary School,0,197,87,44.16%,23,11.68%,110,55.84%,,,
,0030 Scottsboro High School,0,753,247,32.80%,44,5.84%,291,38.65%,,,
,0040 Scottsboro Junior High School,0,380,136,35.79%,35,9.21%,171,45.00%,,,
,0050 Collins Intermediate School,0,539,216,40.07%,60,11.13%,276,51.21%,,,
191 Selma City,,,"2,390","1,723",72.092%,*,*,"1,723",72.092%,,,
,0030 Clark Elementary School,1,178,134,75.28%,*,*,134,75.28%,,,
,0045 Sophia P Kingston Elementary School,1,169,130,76.92%,*,*,130,76.92%,,,
,0050 School Of Discovery Genesis Center,1,161,130,80.75%,*,*,130,80.75%,,,
,0060 Edgewood Elementary School,1,345,261,75.65%,*,*,261,75.65%,,,
,0090 Meadowview Elementary School,1,230,129,56.09%,*,*,129,56.09%,,,
,0100 Payne Elementary School,1,160,127,79.38%,*,*,127,79.38%,,,
,0110 Selma High School,1,591,405,68.53%,*,*,405,68.53%,,,
,0115 Saints Virtual Academy,0,208,149,71.63%,*,*,149,71.63%,,,
,0120 The R.B.Hudson STEAM Academy,1,348,258,74.14%,*,*,258,74.14%,,,
192 Sheffield City,,,982,550,56.008%,*,*,550,56.008%,,,
,0020 WA Threadgill Primary School,1,229,132,57.64%,*,*,132,57.64%,,,
,0050 Sheffield High School,1,278,139,50.00%,*,*,139,50.00%,,,
,0055 Sheffield Junior High School,1,177,102,57.63%,*,*,102,57.63%,,,
,0090 L E Willson Elementary School,1,298,177,59.40%,*,*,177,59.40%,,,
193 Sylacauga City,,,"2,024",982,48.518%,152,7.51%,"1,134",56.028%,,,
,0015 Indian Valley Elementary School,0,458,246,53.71%,29,6.33%,275,60.04%,,,
,0035 Nichols-Lawson Middle School,0,477,235,49.27%,34,7.13%,269,56.39%,,,
,0040 Pinecrest Elementary School,0,436,245,56.19%,37,8.49%,282,64.68%,,,
,0050 Sylacauga High School,0,653,256,39.20%,52,7.96%,308,47.17%,,,
194 Talladega City,,,"1,719",926,53.869%,*,*,926,53.869%,,,
,0010 C L Salter Elementary School,0,203,124,61.08%,*,*,124,61.08%,,,
,0045 Evelyn D Houston Elementary School,0,419,241,57.52%,*,*,241,57.52%,,,
,0050 Graham Elementary School,0,204,118,57.84%,*,*,118,57.84%,,,
,0070 Raymond L Young Elementary School,0,167,65,38.92%,*,*,65,38.92%,,,
,0080 Talladega High School,0,453,208,45.92%,*,*,208,45.92%,,,
,0085 Zora Ellis Junior High School,0,273,170,62.27%,*,*,170,62.27%,,,
195 Tallassee City,,,"1,551",735,47.389%,93,5.996%,828,53.385%,,,
,0010 Southside Middle School,0,460,235,51.09%,35,7.61%,270,58.70%,,,
,0020 Tallassee Elementary School,0,556,281,50.54%,30,5.40%,311,55.94%,,,
,0030 Tallassee High School,0,535,219,40.93%,28,5.23%,247,46.17%,,,
196 Satsuma City,,,"1,485",464,31.246%,155,10.438%,619,41.684%,,,
,0010 Robert E. Lee Elementary,0,731,236,32.28%,80,10.94%,316,43.23%,,,
,0020 Satsuma High School,0,754,228,30.24%,75,9.95%,303,40.19%,,,
197 Tarrant City,,,"1,270",647,50.945%,*,*,647,50.945%,,,
,0020 Tarrant Elementary School,1,321,164,51.09%,*,*,164,51.09%,,,
,0030 Tarrant High School,1,550,265,48.18%,*,*,265,48.18%,,,
,0035 Tarrant Intermediate School,1,399,218,54.64%,*,*,218,54.64%,,,
198 Thomasville City,,,"1,048",604,57.634%,72,6.87%,676,64.504%,,,
,0010 Thomasville High School,0,334,165,49.40%,30,8.98%,195,58.38%,,,
,0020 Thomasville Elementary School,0,404,246,60.89%,17,4.21%,263,65.10%,,,
,0025 Thomasville Middle School,0,310,193,62.26%,25,8.06%,218,70.32%,,,
199 Troy City,,,"1,649",795,48.211%,*,*,795,48.211%,,,
,0010 Charles Henderson High School,1,531,217,40.87%,*,*,217,40.87%,,,
,0015 Charles Henderson Middle,1,243,114,46.91%,*,*,114,46.91%,,,
,0070 Troy Elementary School,1,875,464,53.03%,*,*,464,53.03%,,,
200 Tuscaloosa City,,,"10,312","4,286",41.563%,*,*,"4,286",41.563%,,,
,0010 The Alberta School of Performing Arts,1,605,310,51.24%,*,*,310,51.24%,,,
,0020 Arcadia Elementary School,1,359,171,47.63%,*,*,171,47.63%,,,
,0030 Central Elementary School,1,273,195,71.43%,*,*,195,71.43%,,,
,0055 Paul W Bryant High School,1,"1,045",397,37.99%,*,*,397,37.99%,,,
,0060 Eastwood Middle School,1,771,389,50.45%,*,*,389,50.45%,,,
,0075 Northridge High School,0,"1,116",237,21.24%,*,*,237,21.24%,,,
,0090 Oakdale Elementary School,1,296,214,72.30%,*,*,214,72.30%,,,
,0105 Rock Quarry Elementary School,0,512,23,4.49%,*,*,23,4.49%,,,
,0106 Northridge Middle School,0,768,175,22.79%,*,*,175,22.79%,,,
,0110 Skyland Elementary School,1,403,240,59.55%,*,*,240,59.55%,,,
,0131 Southview Elementary School,1,529,286,54.06%,*,*,286,54.06%,,,
,0140 Martin L King Jr Elementary School,1,436,312,71.56%,*,*,312,71.56%,,,
,0156 Tuscaloosa Magnet School - Elementary,0,280,35,12.50%,*,*,35,12.50%,,,
,0157 Tuscaloosa Magnet School - Middle,0,163,18,11.04%,*,*,18,11.04%,,,
,0160 Central High School,1,764,414,54.19%,*,*,414,54.19%,,,
,0180 University Place Elementary School,1,500,274,54.80%,*,*,274,54.80%,,,
,0185 Verner Elementary School,0,511,67,13.11%,*,*,67,13.11%,,,
,0195 Woodland Forrest Elementary School,1,436,152,34.86%,*,*,152,34.86%,,,
,0200 Westlawn Middle School,1,545,377,69.17%,*,*,377,69.17%,,,
201 Tuscumbia City,,,"1,411",554,39.263%,44,3.118%,598,42.381%,,,
,0010 Deshler High School,0,427,129,30.21%,16,3.75%,145,33.96%,,,
,0020 Deshler Middle School,0,343,131,38.19%,14,4.08%,145,42.27%,,,
,0030 R E Thompson Intermediate School,0,294,128,43.54%,*,*,136,46.26%,,,
,0040 G W Trenholm Primary School,0,347,166,47.84%,*,*,172,49.57%,,,
202 Vestavia Hills City,,,"7,023",186,2.648%,18,0.256%,204,2.905%,,,
,0010 East Elementary,0,740,16,2.16%,*,*,18,2.43%,,,
,0015 West Elementary,0,748,25,3.34%,*,*,26,3.48%,,,
,0020 Vestavia Hills High School,0,"1,561",29,1.86%,*,*,38,2.43%,,,
,0025 Vestavia Hills High School Freshman Campus,0,528,14,2.65%,*,*,14,2.65%,,,
,0030 Pizitz Middle School,0,"1,207",35,2.90%,*,*,35,2.90%,,,
,0040 Liberty Park Elementary,0,579,*,*,*,*,*,*,,,
,0050 Liberty Park Middle School,0,523,12,2.29%,*,*,14,2.68%,,,
,0060 Vestavia Hills Elementary Dolly Ridge,0,699,28,4.01%,*,*,28,4.01%,,,
,0140 Vestavia Hills Elementary Cahaba Heights,0,438,25,5.71%,*,*,28,6.39%,,,
204 Winfield City,,,"1,214",406,33.443%,73,6.013%,479,39.456%,,,
,0010 Winfield Elementary School,0,496,183,36.90%,33,6.65%,216,43.55%,,,
,0015 Winfield Middle School,0,387,137,35.40%,22,5.68%,159,41.09%,,,
,0020 Winfield High School,0,331,86,25.98%,18,5.44%,104,31.42%,,,
205 Trussville City,,,"4,885",241,4.933%,*,*,241,4.933%,,,
,0380 Hewitt-Trussville Middle School,0,"1,130",47,4.16%,*,*,47,4.16%,,,
,0400 Magnolia Elementary School,0,362,31,8.56%,*,*,31,8.56%,,,
,0693 Paine Elementary School,0,"1,282",59,4.60%,*,*,59,4.60%,,,
,0695 Cahaba Elementary School,0,508,34,6.69%,*,*,34,6.69%,,,
,0890 Hewitt-Trussville High School,0,"1,603",70,4.37%,*,*,70,4.37%,,,
800 Acceleration Day and Evening Academy,,,453,367,81.015%,*,*,367,81.015%,,,
,0010 Acceleration Day and Evening Academy,1,453,367,81.02%,*,*,367,81.02%,,,
801 University Charter School,,,532,234,43.985%,45,8.459%,279,52.444%,,,
,0010 University Charter School,0,532,234,43.98%,45,8.46%,279,52.44%,,,
802 LEAD Academy,,,551,293,53.176%,12,2.178%,305,55.354%,,,
,0010 LEAD Academy Building A,1,331,174,52.57%,*,*,174,52.57%,,,
,0015 LEAD Academy Building B,0,220,119,54.09%,12,5.45%,131,59.55%,,,
803 Legacy Prep,,,352,182,51.705%,*,*,182,51.705%,,,
,0010 Legacy Prep,1,352,182,51.70%,*,*,182,51.70%,,,
805 i3 Academy,,,517,306,59.188%,*,*,306,59.188%,,,
,0010 i3 Academy Phase 1,1,423,253,59.81%,*,*,253,59.81%,,,
,0015 i3 Academy Phase 2,0,94,53,56.38%,*,*,53,56.38%,,,
807 LIFE Academy,,,243,132,54.321%,*,*,132,54.321%,,,
,0010 LIFE Academy at Historic St Jude Educational Institute,0,243,132,54.32%,*,*,132,54.32%,,,
808 Breakthrough Charter School,,,129,70,54.264%,*,*,70,54.264%,,,
,0010 Breakthrough Charter School,0,129,70,54.26%,*,*,70,54.26%,,,
810 Magic City Acceptance Academy,,,209,31,14.833%,*,*,31,14.833%,,,
,0010 Magic City Acceptance Academy,0,209,31,14.83%,*,*,31,14.83%,,,
,,,,,,,,,,,,
